"GroupId","Length","Hash","Path","LastWriteTimeUtc"
"_","1090958","5478CDE51BF0F39C89ED41C2220E0EF6A849FA0E1CE114F1D2CA24DBFFB9DA9D","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130525_193045.jpg","29/01/2024 02:54:28"
"_","1090958","5478CDE51BF0F39C89ED41C2220E0EF6A849FA0E1CE114F1D2CA24DBFFB9DA9D","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\05\20130525_193045.jpg","29/01/2024 03:48:01"
"_","995959","FCAC9A4A8B4987923302B4165E43B56744C913DA660A194A4A9C0B96B7978D57","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130609_002721.jpg","29/01/2024 02:54:28"
"_","995959","FCAC9A4A8B4987923302B4165E43B56744C913DA660A194A4A9C0B96B7978D57","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130609_002721.jpg","29/01/2024 03:48:01"
"_","1257007","CB49477C224E0A5469953CF2F9E295FD91089E476336144BA0EC227B709321A1","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130609_002736.jpg","29/01/2024 02:54:28"
"_","1257007","CB49477C224E0A5469953CF2F9E295FD91089E476336144BA0EC227B709321A1","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130609_002736.jpg","29/01/2024 03:48:01"
"_","1011853","58DC7A8C61B107E0AB47E478066DDC8095965FCE73DB14EEFEEFA3906472C008","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130612_183128.jpg","29/01/2024 02:54:28"
"_","1011853","58DC7A8C61B107E0AB47E478066DDC8095965FCE73DB14EEFEEFA3906472C008","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130612_183128.jpg","29/01/2024 03:48:01"
"_","1083439","203FD94ADB14EFEEE556D0545060F8A3EB2F9B5574D814CFD39B00647272DBBA","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130614_194246.jpg","29/01/2024 02:54:28"
"_","1083439","203FD94ADB14EFEEE556D0545060F8A3EB2F9B5574D814CFD39B00647272DBBA","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130614_194246.jpg","29/01/2024 03:48:01"
"_","1077694","69B23F683A6AC170205CF93D888595651A597F6F219602255A72FE88AE1CE5BB","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130614_194251.jpg","29/01/2024 02:54:28"
"_","1077694","69B23F683A6AC170205CF93D888595651A597F6F219602255A72FE88AE1CE5BB","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130614_194251.jpg","29/01/2024 03:48:01"
"_","1012200","661FF654BE994D281990AF66DF59DFF179CFF970C2DE3765550C94B6575A93D5","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130615_121806.jpg","29/01/2024 02:54:28"
"_","1012200","661FF654BE994D281990AF66DF59DFF179CFF970C2DE3765550C94B6575A93D5","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130615_121806.jpg","29/01/2024 03:48:01"
"_","1071412","054DFADCA15429478F6E36A6EAF2A435F1627B4A37262008E9A15251DA6FD5CB","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130615_121912.jpg","29/01/2024 02:54:28"
"_","1071412","054DFADCA15429478F6E36A6EAF2A435F1627B4A37262008E9A15251DA6FD5CB","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130615_121912.jpg","29/01/2024 03:48:01"
"_","1181199","0B5EFEFE67DB98441F15FF761D89F03A4EFEE58E3CC1A5A283E71FD8F85744D9","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130615_171951.jpg","29/01/2024 02:54:28"
"_","1181199","0B5EFEFE67DB98441F15FF761D89F03A4EFEE58E3CC1A5A283E71FD8F85744D9","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130615_171951.jpg","29/01/2024 03:48:01"
"_","1198014","E18D6682C1BE051642D60BBE8C8B3E56BC30D3D04B16BA2EB8A3A40DD0618144","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130615_172039.jpg","29/01/2024 02:54:28"
"_","1198014","E18D6682C1BE051642D60BBE8C8B3E56BC30D3D04B16BA2EB8A3A40DD0618144","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130615_172039.jpg","29/01/2024 03:48:01"
"_","1192273","2300F4882564B236F1CF765CA974D5A0E483710677EDB443FE827DC62B619E43","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130615_172247.jpg","29/01/2024 02:54:28"
"_","1192273","2300F4882564B236F1CF765CA974D5A0E483710677EDB443FE827DC62B619E43","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130615_172247.jpg","29/01/2024 03:48:01"
"_","1204583","C71D1C8B9F5E3E585E7DF62E07F03F117A40E0F6D3CC65E1A91928BC4D9ADC1D","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130615_172259.jpg","29/01/2024 02:54:28"
"_","1204583","C71D1C8B9F5E3E585E7DF62E07F03F117A40E0F6D3CC65E1A91928BC4D9ADC1D","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130615_172259.jpg","29/01/2024 03:48:01"
"_","1479498","1AC56F255779BBCBF8D222D250836FD19E5DE8DDC3CA11E2D5695CC41969C36C","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130616_145948.jpg","29/01/2024 02:54:28"
"_","1479498","1AC56F255779BBCBF8D222D250836FD19E5DE8DDC3CA11E2D5695CC41969C36C","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130616_145948.jpg","29/01/2024 03:48:01"
"_","1535935","66F9254050943B0A31C970946A172F28058E5A6EFC8FBF78792AA4A379D8E820","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130616_145953.jpg","29/01/2024 02:54:28"
"_","1535935","66F9254050943B0A31C970946A172F28058E5A6EFC8FBF78792AA4A379D8E820","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130616_145953.jpg","29/01/2024 03:48:02"
"_","1558301","BD3C77EC20ACE5BF30ECAF5DC991FF6B01F4BB93331AF325F6916B895CBB2015","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130616_150004.jpg","29/01/2024 02:54:28"
"_","1558301","BD3C77EC20ACE5BF30ECAF5DC991FF6B01F4BB93331AF325F6916B895CBB2015","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130616_150004.jpg","29/01/2024 03:48:02"
"_","1016029","D6ED7C9113A2683701177647F861751843EE68D52DBC03C8938E4CDA243EDAC8","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130628_164808.jpg","29/01/2024 02:54:28"
"_","1016029","D6ED7C9113A2683701177647F861751843EE68D52DBC03C8938E4CDA243EDAC8","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130628_164808.jpg","29/01/2024 03:48:02"
"_","1247239","E904CB934B1C35C0F27D34DC0812B91C7DC3B24ED020E86B30429B0B2FD08FCD","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130628_165153.jpg","29/01/2024 02:54:28"
"_","1247239","E904CB934B1C35C0F27D34DC0812B91C7DC3B24ED020E86B30429B0B2FD08FCD","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130628_165153.jpg","29/01/2024 03:48:02"
"_","1080030","B88180443A7144AB08B244705799C824A612E415D6406FCEBC8E37C28F828BD7","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130628_165216.jpg","29/01/2024 02:54:28"
"_","1080030","B88180443A7144AB08B244705799C824A612E415D6406FCEBC8E37C28F828BD7","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130628_165216.jpg","29/01/2024 03:48:02"
"_","1151310","CA81A36AE1F807C350D472E146CB6FE51F228D7FDCED680036E6101AAD4EC8C9","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130628_165423.jpg","29/01/2024 02:54:28"
"_","1151310","CA81A36AE1F807C350D472E146CB6FE51F228D7FDCED680036E6101AAD4EC8C9","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130628_165423.jpg","29/01/2024 03:48:02"
"_","1017530","2E9603432567191EE51082D27EBEA2A9A89F3D1D0BA21A83379DB050A168D9BC","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130628_165438.jpg","29/01/2024 02:54:28"
"_","1017530","2E9603432567191EE51082D27EBEA2A9A89F3D1D0BA21A83379DB050A168D9BC","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130628_165438.jpg","29/01/2024 03:48:02"
"_","1283302","9A4EBFCED941E4CB6BDC298C72CCF99D77E13AD8490CFD617C1A09CDA82D9E4B","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130629_182015.jpg","29/01/2024 02:54:28"
"_","1283302","9A4EBFCED941E4CB6BDC298C72CCF99D77E13AD8490CFD617C1A09CDA82D9E4B","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130629_182015.jpg","29/01/2024 03:48:02"
"_","1220565","B8708A6965C96029027F0C2733572DE565C1D5D52A3CD12FAC221020E22923F5","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130629_182022.jpg","29/01/2024 02:54:28"
"_","1220565","B8708A6965C96029027F0C2733572DE565C1D5D52A3CD12FAC221020E22923F5","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130629_182022.jpg","29/01/2024 03:48:02"
"_","1292729","C9154BABD9077901ABA1FFFF9ACF9302E6EF8679A4A75310CA85DF3BD12C4E11","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130629_182034.jpg","29/01/2024 02:54:28"
"_","1292729","C9154BABD9077901ABA1FFFF9ACF9302E6EF8679A4A75310CA85DF3BD12C4E11","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130629_182034.jpg","29/01/2024 03:48:02"
"_","1253774","31DBD213875494FB782D90F7495DDBE084473653065FA56D7C7313C01BE97A4E","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130629_182043.jpg","29/01/2024 02:54:28"
"_","1253774","31DBD213875494FB782D90F7495DDBE084473653065FA56D7C7313C01BE97A4E","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130629_182043.jpg","29/01/2024 03:48:02"
"_","1116719","E542CE5E3C867D345FB18384FFDF4E0EB423B3C8437246BC4CD9D6D4A23EC72E","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130629_182056.jpg","29/01/2024 02:54:28"
"_","1116719","E542CE5E3C867D345FB18384FFDF4E0EB423B3C8437246BC4CD9D6D4A23EC72E","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130629_182056.jpg","29/01/2024 03:48:03"
"_","1078998","EA0449F5C1D26C7045A10D9AE2564224688910E13D5D01784B563BC2A654DFAC","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130629_182531.jpg","29/01/2024 02:54:28"
"_","1078998","EA0449F5C1D26C7045A10D9AE2564224688910E13D5D01784B563BC2A654DFAC","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130629_182531.jpg","29/01/2024 03:48:03"
"_","1038983","86DF7C9EB55B0C559FAB81492D9B6C9D231C76C629177B1A1331EB88DE079F9E","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130629_182604.jpg","29/01/2024 02:54:28"
"_","1038983","86DF7C9EB55B0C559FAB81492D9B6C9D231C76C629177B1A1331EB88DE079F9E","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130629_182604.jpg","29/01/2024 03:48:03"
"_","1164291","50EAEB60BAC25A4D42329D77B67EF7147A05BB3D5E7214C5E03DE7C25B6C32F4","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130629_182714.jpg","29/01/2024 02:54:28"
"_","1164291","50EAEB60BAC25A4D42329D77B67EF7147A05BB3D5E7214C5E03DE7C25B6C32F4","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130629_182714.jpg","29/01/2024 03:48:03"
"_","1330873","59364A2993D4132D203E3711B949EB00DE93F1ED666687B8BBDD05D04C1E239A","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130629_182832.jpg","29/01/2024 02:54:28"
"_","1330873","59364A2993D4132D203E3711B949EB00DE93F1ED666687B8BBDD05D04C1E239A","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\06\20130629_182832.jpg","29/01/2024 03:48:03"
"_","1307533","71FBBC65C2225115404948724CB1004AF10B03CAA1D99D5CA94C53708E117825","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130629_182936.jpg","29/01/2024 02:54:28"
